day,total_gas_fee_eth,transaction_count
2024-01-01,1597.0401296501877,1101465
2024-01-02,2403.0232063812377,1128657
2024-01-03,4299.868493233686,1092220
2024-01-04,2838.8086303987334,1116573
2024-01-05,2429.648188689687,1069252
2024-01-06,2130.38030341397,994947
2024-01-07,3441.9324610536814,1049831
2024-01-08,2952.7631506322728,1073535
2024-01-09,2745.639335458148,1078832
2024-01-10,4788.384770187586,1247106
2024-01-11,3843.933388465479,1209246
2024-01-12,3053.3149108204448,1209875
2024-01-13,2174.2678445568768,1212202
2024-01-14,3819.6971641362657,1961144
2024-01-15,2788.8059986599665,1154132
2024-01-16,4092.4937090382055,1269778
2024-01-17,4445.034525098256,1181029
2024-01-18,4142.597482784823,1204406
2024-01-19,3657.1225314929434,1173934
2024-01-20,2096.777619170041,1062400
2024-01-21,1735.8614061439127,1119258
2024-01-22,2318.9485626621617,1076456
2024-01-23,2028.373627240894,1083406
2024-01-24,1673.7719798127282,1080129
2024-01-25,3053.639458390448,1173661
2024-01-26,2510.3855687933137,1172353
2024-01-27,1654.016216695409,1147736
2024-01-28,1546.8692564827682,1128110
2024-01-29,1860.3594391041545,1115710
2024-01-30,3577.1755074890516,1190513
2024-01-31,3204.7053341416613,1137621
2024-02-01,3455.270189629518,1127338
2024-02-02,2749.649273168639,1108172
2024-02-03,2481.7823021553654,1054604
2024-02-04,1994.6327350702804,1049649
2024-02-05,2386.6970869919573,1120237
2024-02-06,4372.222457979032,1080846
2024-02-07,4879.239911639359,1143018
2024-02-08,6800.217404352742,1052168
2024-02-09,8042.509430329205,1075272
2024-02-10,4402.186189310628,1010940
2024-02-11,3473.550134094249,1027275
2024-02-12,5018.43499138531,984284
2024-02-13,3911.2740072591,1102512
2024-02-14,3289.1468661468075,1130386
2024-02-15,4361.180119897437,1153897
2024-02-16,3350.2469180910025,1179007
2024-02-17,2444.335361420628,1078511
2024-02-18,2771.595710390071,1093072
2024-02-19,4090.6445727954206,1146697
2024-02-20,4525.47622950023,1149756
2024-02-21,4708.885278463875,1100360
2024-02-22,5619.0913334056795,1082822
2024-02-23,4894.349477666099,1159988
2024-02-24,3373.5729720015765,1101339
2024-02-25,3423.4482366853067,1102202
2024-02-26,4727.640700124661,1187460
2024-02-27,5698.409431768469,1219667
2024-02-28,7067.646804641645,1227000
2024-02-29,7942.462902696873,1236458
2024-03-01,6303.94578255772,1205380
2024-03-02,5681.369097782384,1210225
2024-03-03,5966.025757374794,1182830
2024-03-04,9286.337371249316,1267200
2024-03-05,10809.620759868158,1303724
2024-03-06,9061.819735081479,1218992
2024-03-07,8086.875130820495,1228816
2024-03-08,7100.1829945752315,1212254
2024-03-09,6390.429171773443,1160185
2024-03-10,6886.560943686939,1157440
2024-03-11,7846.7577292504875,1245874
2024-03-12,7038.092319006232,1232719
2024-03-13,6870.2820412513365,1277221
2024-03-14,6165.274696345748,1300877
2024-03-15,5065.0387609210375,1312102
2024-03-16,4091.6478492701626,1275332
2024-03-17,3517.743365172158,1204019
2024-03-18,4275.772963263559,1281387
2024-03-19,4825.479549490059,1377677
2024-03-20,4337.806593946928,1370939
2024-03-21,3694.7834775115734,1331198
2024-03-22,3089.131909723224,1323924
2024-03-23,2330.141495876987,1297609
2024-03-24,2300.0131815758814,1230758
2024-03-25,3191.2025603295497,1279190
2024-03-26,3755.9602353916016,1315082
2024-03-27,4147.315389286531,1272273
2024-03-28,4073.0292250098564,1287078
2024-03-29,3202.641786006125,1304561
2024-03-30,2712.1389274355324,1239605
2024-03-31,2589.755154380892,1245309
2024-04-01,3104.594242661098,1245715
2024-04-02,4544.308097439632,1239577
2024-04-03,3924.541688978167,1211600
2024-04-04,3478.7909085029673,1234719
2024-04-05,2594.6136808403053,1242174
