daily_volume_usd,day,project,trade_count
9133.163600144057,2024-01-01,uniswap,33
5278.06579616151,2024-01-02,airswap,3
12072.086961900291,2024-01-02,uniswap,26
821.3696250049416,2024-01-03,airswap,2
7848.338043960891,2024-01-03,uniswap,15
5396.324523822578,2024-01-04,uniswap,21
1466.685094106146,2024-01-05,airswap,1
4724.682098722999,2024-01-05,uniswap,22
6049.429572080015,2024-01-06,airswap,5
4713.815222025527,2024-01-06,uniswap,16
1313.0463435638876,2024-01-07,airswap,1
5771.730178982021,2024-01-07,uniswap,23
109.1461448138517,2024-01-08,airswap,2
7352.628155439331,2024-01-08,uniswap,23
122.99331482480001,2024-01-09,airswap,1
5767.131157875085,2024-01-09,uniswap,18
3592.7298711298145,2024-01-10,uniswap,11
1826.39546749464,2024-01-11,uniswap,10
0.9194723659999999,2024-01-12,airswap,1
10796.711958662558,2024-01-12,uniswap,26
3385.9975543235914,2024-01-13,airswap,3
3558.8718988633673,2024-01-13,uniswap,20
500.055670526113,2024-01-14,airswap,1
2462.036040121652,2024-01-14,uniswap,13
4610.890580747564,2024-01-15,uniswap,18
1899.4350102141398,2024-01-16,1inch-LOP,2
2134.468848236922,2024-01-16,uniswap,9
4128.302772932665,2024-01-17,1inch-LOP,3
1857.7114214666708,2024-01-17,airswap,3
13964.887743829142,2024-01-17,uniswap,23
972.4534124003746,2024-01-18,airswap,3
2640.8740133889487,2024-01-18,uniswap,23
209.14185052595423,2024-01-19,1inch-LOP,1
467.5703134028486,2024-01-19,airswap,1
3225.7670199013132,2024-01-19,uniswap,19
672.2202488711135,2024-01-20,1inch-LOP,1
33.20137807004677,2024-01-20,airswap,2
14486.913084562811,2024-01-20,uniswap,33
617.2532644378233,2024-01-21,airswap,3
2318.1163160457645,2024-01-21,uniswap,33
16237.971017851265,2024-01-22,airswap,2
2730.221840122369,2024-01-22,uniswap,14
220.10928311558,2024-01-23,airswap,1
4971.7686884106415,2024-01-23,uniswap,22
217.96736200845731,2024-01-24,airswap,2
19672.68351144859,2024-01-24,uniswap,62
7219.0357604821165,2024-01-25,uniswap,32
73.66606510839722,2024-01-26,airswap,1
1065.9580915826848,2024-01-26,uniswap,16
259.95470898130833,2024-01-27,airswap,2
2945.5087802043863,2024-01-27,uniswap,32
2375.490738080283,2024-01-28,airswap,7
4348.418359972573,2024-01-28,uniswap,32
1567.5534044031144,2024-01-29,airswap,3
804.3224409091561,2024-01-29,uniswap,25
1068.7774844459084,2024-01-30,uniswap,12
7287.549724122855,2024-01-31,uniswap,27
133.22869745878248,2024-02-01,airswap,2
2993.868102662149,2024-02-01,uniswap,15
64.68342747993435,2024-02-02,airswap,1
2145.7909805896143,2024-02-02,uniswap,10
1519.4441521336755,2024-02-03,uniswap,20
256.01303672345017,2024-02-04,airswap,2
1500.2087436342972,2024-02-04,uniswap,23
197.07802634161817,2024-02-05,airswap,1
1052.5304264644442,2024-02-05,uniswap,8
4637.259215009828,2024-02-06,airswap,2
1872.6734495549215,2024-02-06,uniswap,17
1374.6800759427367,2024-02-07,airswap,2
2183.9862039422223,2024-02-07,uniswap,15
2043.072419494757,2024-02-08,airswap,1
5322.335891567153,2024-02-08,uniswap,11
9281.509013173723,2024-02-09,uniswap,9
818.4860478207805,2024-02-10,airswap,2
22320.320430476502,2024-02-10,uniswap,20
718.7143969908072,2024-02-11,airswap,1
5821.888692542008,2024-02-11,uniswap,17
1135.7583582090124,2024-02-12,airswap,2
3077.7858199652997,2024-02-12,uniswap,14
2392.5379026060637,2024-02-13,airswap,2
3238.6608811179517,2024-02-13,uniswap,17
3382.5997736924883,2024-02-14,uniswap,11
95.07934787996008,2024-02-15,airswap,1
6589.280059264718,2024-02-15,uniswap,15
454.52019522579684,2024-02-16,airswap,1
17499.454544173088,2024-02-16,uniswap,29
3078.790306160837,2024-02-17,airswap,1
4371.084149766533,2024-02-17,uniswap,14
512.4890274778202,2024-02-18,airswap,2
6843.895546738376,2024-02-18,uniswap,15
3990.9742800089048,2024-02-19,airswap,2
6830.856045484396,2024-02-19,uniswap,7
169.75754706544313,2024-02-20,airswap,2
1976.5502665777121,2024-02-20,uniswap,19
9310.470520958355,2024-02-21,uniswap,26
1267.2757357042717,2024-02-22,airswap,2
6348.7902572342155,2024-02-22,uniswap,13
494.79502742781995,2024-02-23,airswap,1
4216.257410557266,2024-02-23,uniswap,9
1.4622179250953897,2024-02-24,airswap,1
4225.230808881205,2024-02-24,uniswap,19
15569.344134278244,2024-02-25,uniswap,19
6658.495044115247,2024-02-26,airswap,2
4344.445085111211,2024-02-26,uniswap,17
115.37887353305989,2024-02-27,airswap,1
4312.515604439206,2024-02-27,uniswap,11
27982.918409672344,2024-02-28,uniswap,33
36.18462757344389,2024-02-29,airswap,1
3385.9443443443674,2024-02-29,uniswap,9
43.56775301529184,2024-03-01,uniswap,2
23729.015541408095,2024-03-02,airswap,2
25077.436642566852,2024-03-02,uniswap,26
7346.332118832877,2024-03-03,uniswap,15
9762.999082510687,2024-03-04,uniswap,11
10009.82582191878,2024-03-05,airswap,1
2165.5781725697475,2024-03-05,uniswap,5
629.8981347851518,2024-03-06,airswap,2
4386.5384884379055,2024-03-06,uniswap,12
2225.9703767352357,2024-03-07,airswap,1
7069.011719573297,2024-03-07,uniswap,8
2753.418964516986,2024-03-08,airswap,2
3534.837517114103,2024-03-08,uniswap,9
1841.3653090787707,2024-03-09,airswap,2
5252.762093481844,2024-03-09,uniswap,9
575.1974418080949,2024-03-10,airswap,1
11670.307423729226,2024-03-10,uniswap,16
15614.30165313492,2024-03-11,uniswap,15
14013.18796764204,2024-03-12,airswap,2
38604.42245920605,2024-03-12,uniswap,17
16786.545892981845,2024-03-13,uniswap,17
22791.635400590974,2024-03-14,uniswap,27
9506.081122142583,2024-03-15,uniswap,15
14630.796657776516,2024-03-16,uniswap,24
520.3682325977501,2024-03-17,airswap,2
10639.256160042803,2024-03-17,uniswap,24
305.2296643309349,2024-03-18,airswap,1
1869.7512008374256,2024-03-18,uniswap,8
2009.0988413071245,2024-03-19,uniswap,11
3646.7550791427384,2024-03-20,uniswap,11
2023.2721464617475,2024-03-21,airswap,1
7055.957367918326,2024-03-21,uniswap,18
5400.8191923984205,2024-03-22,uniswap,14
118.14232937798275,2024-03-23,airswap,1
