daily_volume_usd,day,project,trade_count
25784.10951463418,2024-01-01,0x-API,15
22197.941379348922,2024-01-01,1inch-LOP,5
910.4477437129426,2024-01-01,airswap,3
100.18617124683561,2024-01-01,balancer,1
634.6440892128081,2024-01-01,bancor,1
251.74824463838442,2024-01-01,defiswap,6
632.7870610416915,2024-01-01,shibaswap,2
13798.59881944527,2024-01-01,sushiswap,11
2015795.9170713734,2024-01-01,uniswap,311
15567.761551992498,2024-01-02,0x-API,18
288069.7981347164,2024-01-02,1inch-LOP,7
146.56496345812099,2024-01-02,airswap,2
536.3212926303835,2024-01-02,balancer,1
3206.8340232685487,2024-01-02,bancor,4
158.0569640888957,2024-01-02,defiswap,4
1046.0663390096552,2024-01-02,shibaswap,3
4464.59363566984,2024-01-02,sushiswap,14
4232577.038115562,2024-01-02,uniswap,357
451385.06455810997,2024-01-03,0x-API,26
708142.2789772545,2024-01-03,1inch-LOP,12
1680.155839498448,2024-01-03,airswap,3
792.7923325295028,2024-01-03,balancer,2
3209.8984185481095,2024-01-03,bancor,4
458.2953319213252,2024-01-03,defiswap,4
838.7598274918507,2024-01-03,shibaswap,2
12963.224950871716,2024-01-03,sushiswap,10
9747498.363481982,2024-01-03,uniswap,558
548011.103997487,2024-01-04,0x-API,18
290538.8856722157,2024-01-04,1inch-LOP,9
4748.2917779805775,2024-01-04,airswap,5
713.7668760082599,2024-01-04,balancer,5
7409.252321721962,2024-01-04,bancor,9
232.91459602991594,2024-01-04,defiswap,6
760.1551631431535,2024-01-04,shibaswap,3
5772.809017157803,2024-01-04,sushiswap,13
6862363.715440073,2024-01-04,uniswap,400
21096.58179161882,2024-01-05,0x-API,16
44623.15408619756,2024-01-05,1inch-LOP,6
1380.7407431555025,2024-01-05,airswap,5
1341.1409960145106,2024-01-05,balancer,4
4772.178642049506,2024-01-05,bancor,4
88.46338845661839,2024-01-05,defiswap,2
2294.9076776446127,2024-01-05,shibaswap,6
6715.346149680048,2024-01-05,sushiswap,14
9003636.646982731,2024-01-05,uniswap,524
18457.812882928105,2024-01-06,0x-API,15
530.3527085401039,2024-01-06,1inch-LOP,1
163.63373598673715,2024-01-06,airswap,1
802.8869967811244,2024-01-06,balancer,4
1222.5362820522482,2024-01-06,bancor,2
