daily_volume_usd,day,project,trade_count
5612601.983069002,2024-01-01,0x-API,1090
8275158.368285502,2024-01-01,1inch-LOP,252
757349.1306584982,2024-01-01,airswap,315
1324981.3952945848,2024-01-01,balancer,424
14797.15762677212,2024-01-01,bancor,9
812534.3770236967,2024-01-01,clipper,133
49085895.262668185,2024-01-01,curve,751
15825.410680485411,2024-01-01,defiswap,133
51470563.433004394,2024-01-01,dodo,116
3859449.369144047,2024-01-01,integral,27
2579.095392044183,2024-01-01,kyberswap,4
30484.651239795916,2024-01-01,mauve,2
5257060.124565923,2024-01-01,maverick,210
6879036.956267757,2024-01-01,pancakeswap,767
10942.225744448982,2024-01-01,shibaswap,43
2660848.478361383,2024-01-01,solidly,448
886640.0743847528,2024-01-01,sushiswap,905
28302.281846134978,2024-01-01,swaap,4
209558302.17399523,2024-01-01,uniswap,15278
680.2115283211117,2024-01-01,verse_dex,9
9216557.520026993,2024-01-02,0x-API,1058
2290155.1390158734,2024-01-02,1inch-LOP,187
866429.5431274445,2024-01-02,airswap,327
2185974.0191100203,2024-01-02,balancer,328
18571.428266452833,2024-01-02,bancor,10
1999.9181294329,2024-01-02,carbon_defi,1
810787.4825100449,2024-01-02,clipper,102
63253696.73604912,2024-01-02,curve,799
26880.482776985802,2024-01-02,defiswap,125
18178664.386657882,2024-01-02,dodo,86
5057240.283546003,2024-01-02,integral,49
7745.458611061898,2024-01-02,kyberswap,5
103278.35633764898,2024-01-02,mauve,6
4251335.201778422,2024-01-02,maverick,203
16070432.016259192,2024-01-02,pancakeswap,883
9678.383713583764,2024-01-02,shibaswap,36
4321445.568523964,2024-01-02,solidly,567
1007685.5045349182,2024-01-02,sushiswap,828
5067.398782974789,2024-01-02,swaap,1
364708241.13405395,2024-01-02,uniswap,17891
3045.0595623430672,2024-01-02,verse_dex,22
13407276.951660015,2024-01-03,0x-API,1044
7579623.513684942,2024-01-03,1inch-LOP,274
3273325.8412965764,2024-01-03,airswap,249
1783397.6318633,2024-01-03,balancer,344
31734.849889768404,2024-01-03,bancor,8
4677.165440135268,2024-01-03,carbon_defi,5
862841.8266308716,2024-01-03,clipper,103
148831652.37273103,2024-01-03,curve,1039
40522.84444952307,2024-01-03,defiswap,147
1214.0688536268601,2024-01-03,dfx,1
6173476.549664648,2024-01-03,dodo,49
4371038.3763686335,2024-01-03,integral,34
1176.721098448875,2024-01-03,kyberswap,2
213231.13706259997,2024-01-03,mauve,9
1750222.0415142034,2024-01-03,maverick,188
19199407.170961287,2024-01-03,pancakeswap,913
75271.72235358215,2024-01-03,shibaswap,74
5854591.803295828,2024-01-03,solidly,494
1941892.8558002522,2024-01-03,sushiswap,743
81583.09542078771,2024-01-03,swaap,5
629387448.2735115,2024-01-03,uniswap,17814
3253.142583867278,2024-01-03,verse_dex,9
16620110.11627099,2024-01-04,0x-API,967
1862077.969375851,2024-01-04,1inch-LOP,207
1175992.014778495,2024-01-04,airswap,291
1229611.1432362215,2024-01-04,balancer,266
28505.410468465074,2024-01-04,bancor,10
45.548618198250004,2024-01-04,carbon_defi,2
707087.9539603705,2024-01-04,clipper,101
130107655.261245,2024-01-04,curve,903
25129.420765401013,2024-01-04,defiswap,129
8106125.886989045,2024-01-04,dodo,78
6047075.112719976,2024-01-04,integral,46
9981.343898653828,2024-01-04,kyberswap,4
76824.5299658855,2024-01-04,mauve,3
3607085.1540410356,2024-01-04,maverick,194
16206429.489680901,2024-01-04,pancakeswap,871
32273.22839721493,2024-01-04,shibaswap,37
4380986.781349204,2024-01-04,solidly,495
911862.1453651065,2024-01-04,sushiswap,727
60014.24776229577,2024-01-04,swaap,8
363023733.9477907,2024-01-04,uniswap,17205
31429.482980455374,2024-01-04,verse_dex,42
12644936.231506007,2024-01-05,0x-API,948
2018376.5903256356,2024-01-05,1inch-LOP,205
836913.727541253,2024-01-05,airswap,199
1448332.3127720337,2024-01-05,balancer,300
22400.471362639797,2024-01-05,bancor,12
1988.5535257622003,2024-01-05,carbon_defi,2
594982.4736077309,2024-01-05,clipper,94
117029507.5424729,2024-01-05,curve,1006
21363.570832989935,2024-01-05,defiswap,135
1983874.5155536395,2024-01-05,dodo,50
4122448.342465935,2024-01-05,integral,34
5314.097741802645,2024-01-05,kyberswap,5
53947.99244085981,2024-01-05,mauve,1
3604811.5431052377,2024-01-05,maverick,210
15395414.555883663,2024-01-05,pancakeswap,874
8885.343952817553,2024-01-05,shibaswap,31
4566193.482120921,2024-01-05,solidly,498
1105716.9052367236,2024-01-05,sushiswap,698
54490.61262870184,2024-01-05,swaap,4
441560293.21573937,2024-01-05,uniswap,16333
10708.912862044002,2024-01-05,verse_dex,41
3868695.5610289997,2024-01-06,0x-API,750
2145615.6977225817,2024-01-06,1inch-LOP,161
988513.0479836453,2024-01-06,airswap,247
741729.6267461958,2024-01-06,balancer,258
8016.831655926751,2024-01-06,bancor,4
514724.35993225797,2024-01-06,clipper,82
22135981.340620846,2024-01-06,curve,588
7954.673677197829,2024-01-06,defiswap,82
6088184.314225929,2024-01-06,dodo,53
3075723.785662647,2024-01-06,integral,24
19901.200430562596,2024-01-06,kyberswap,6
531723.1924553666,2024-01-06,maverick,129
7024084.642915215,2024-01-06,pancakeswap,819
22512.511964469402,2024-01-06,shibaswap,29
2663581.7999613285,2024-01-06,solidly,389
523508.0468159286,2024-01-06,sushiswap,718
19790.72371522765,2024-01-06,swaap,2
140600223.20886484,2024-01-06,uniswap,12246
6296.754231104122,2024-01-06,verse_dex,29
5961349.306085998,2024-01-07,0x-API,585
2719758.0256187012,2024-01-07,1inch-LOP,175
360859.52737880114,2024-01-07,airswap,122
677492.7654038362,2024-01-07,balancer,209
20312.225927585576,2024-01-07,bancor,9
507306.41965430754,2024-01-07,clipper,67
33636427.34782632,2024-01-07,curve,439
11581.256936744905,2024-01-07,defiswap,79
7563769.264987377,2024-01-07,dodo,30
3022262.3700460815,2024-01-07,integral,21
5581.554147390891,2024-01-07,kyberswap,3
1015911.3079730459,2024-01-07,maverick,110
10190376.118142677,2024-01-07,pancakeswap,739
4186.077972655655,2024-01-07,shibaswap,17
3783513.8193028024,2024-01-07,solidly,365
897146.8346162833,2024-01-07,sushiswap,606
77514.53488285025,2024-01-07,swaap,5
172764411.36719114,2024-01-07,uniswap,10144
22063.699743700843,2024-01-07,verse_dex,15
17567232.404277,2024-01-08,0x-API,968
4328227.7641278375,2024-01-08,1inch-LOP,314
4731518.718622671,2024-01-08,airswap,263
17.147600467313946,2024-01-08,apeswap,3
1825488.525674095,2024-01-08,balancer,389
17180.448911422256,2024-01-08,bancor,11
9795.67812495541,2024-01-08,carbon_defi,6
745023.3013839186,2024-01-08,clipper,93
88098055.39844266,2024-01-08,curve,884
38771.12560253128,2024-01-08,defiswap,130
8535.31740089001,2024-01-08,dfx,1
28974551.191356037,2024-01-08,dodo,80
2032729.78806801,2024-01-08,integral,24
5770.041615507747,2024-01-08,kyberswap,7
55246.65101794616,2024-01-08,mauve,1
2389236.1068752888,2024-01-08,maverick,172
15231459.04401128,2024-01-08,pancakeswap,884
24320.18424850899,2024-01-08,shibaswap,52
5674854.233573354,2024-01-08,solidly,586
1876901.6000650718,2024-01-08,sushiswap,765
111138.63080804967,2024-01-08,swaap,8
408649658.2007278,2024-01-08,uniswap,17562
22898.252111977366,2024-01-08,verse_dex,27
13285775.267505005,2024-01-09,0x-API,839
26966112.426194187,2024-01-09,1inch-LOP,374
1479078.2545470034,2024-01-09,airswap,321
20.858127744457043,2024-01-09,apeswap,2
