daily_volume_usd,day,project,trade_count
7921410.509716783,2024-01-01,0x-API,673
2197638.3665515617,2024-01-01,1inch-LOP,418
2703916.2006344595,2024-01-01,airswap,346
283208.01599329774,2024-01-01,balancer,55
3529.299766924228,2024-01-01,bancor,5
9510.719372677722,2024-01-01,carbon_defi,8
419133.8449475325,2024-01-01,clipper,119
79918974.74600382,2024-01-01,curve,997
60770.55355048228,2024-01-01,defiswap,86
83763410.3610116,2024-01-01,dodo,253
1409114.9573383443,2024-01-01,integral,6
9207.386845497453,2024-01-01,kyberswap,24
3956548.664140238,2024-01-01,maverick,173
9462886.791229935,2024-01-01,pancakeswap,655
25507.504964257765,2024-01-01,shibaswap,76
1029004.9246533425,2024-01-01,solidly,66
852017.2164469697,2024-01-01,sushiswap,779
20139.39743213916,2024-01-01,swaap,1
245936473.51223877,2024-01-01,uniswap,15790
1676.8442544015516,2024-01-01,verse_dex,21
18276945.139474794,2024-01-02,0x-API,871
2930954.132472857,2024-01-02,1inch-LOP,285
3467069.549899668,2024-01-02,airswap,390
1472239.4659052184,2024-01-02,balancer,64
6033.734728262663,2024-01-02,bancor,8
37453.0728958233,2024-01-02,carbon_defi,7
386642.05359304976,2024-01-02,clipper,71
116844891.2385619,2024-01-02,curve,1309
32014.537904378347,2024-01-02,defiswap,140
35181610.95735838,2024-01-02,dodo,189
3760458.1044160617,2024-01-02,integral,30
13253.299068367078,2024-01-02,kyberswap,15
2661121.245776195,2024-01-02,maverick,189
33480080.491656262,2024-01-02,pancakeswap,894
43353.39877999475,2024-01-02,shibaswap,94
2451862.769547005,2024-01-02,solidly,122
895430.7966601568,2024-01-02,sushiswap,833
387358671.09867805,2024-01-02,uniswap,19709
328807.0268656895,2024-01-02,verse_dex,33
17825469.58728079,2024-01-03,0x-API,855
4548282.036220217,2024-01-03,1inch-LOP,380
1437173.2387702456,2024-01-03,airswap,295
199771.56215345798,2024-01-03,balancer,43
9955.539546374475,2024-01-03,bancor,8
36339.8902163528,2024-01-03,carbon_defi,2
413893.4545599702,2024-01-03,clipper,69
175044809.0318507,2024-01-03,curve,1074
25822.624814318973,2024-01-03,defiswap,112
31621126.224976085,2024-01-03,dodo,193
3717826.5065962113,2024-01-03,integral,22
9072.327568279983,2024-01-03,kyberswap,12
931450.5818087317,2024-01-03,maverick,152
25475576.949416127,2024-01-03,pancakeswap,782
80271.63190439355,2024-01-03,shibaswap,101
3743212.595015069,2024-01-03,solidly,141
2702212.264142457,2024-01-03,sushiswap,923
20016.724645489656,2024-01-03,swaap,1
510829711.5638542,2024-01-03,uniswap,19501
42495.010576831635,2024-01-03,verse_dex,31
15205429.393567827,2024-01-04,0x-API,922
3143870.4067733088,2024-01-04,1inch-LOP,411
